Wall time,Step,Value
1520350930.2011073,0,1.8392964601516724
1520350932.5180337,1,1.7968006134033203
1520350934.8434856,2,1.7747447490692139
1520350937.1849759,3,1.7578678131103516
1520350939.5133474,4,1.7430616617202759
1520350941.832485,5,1.7292455434799194
1520350944.1496925,6,1.7159056663513184
1520350946.4527397,7,1.703125
1520350948.7451332,8,1.691376805305481
1520350951.0573404,9,1.6806066036224365
1520350953.3733125,10,1.6704530715942383
1520350955.6879833,11,1.6614534854888916
1520350958.0161808,12,1.6533780097961426
1520350960.3736436,13,1.6464842557907104
1520350962.767349,14,1.6392173767089844
1520350964.9996939,15,1.6336185932159424
1520350967.4175737,16,1.6278080940246582
1520350969.7349546,17,1.62297785282135
1520350972.0283575,18,1.618275761604309
1520350974.3292274,19,1.6141678094863892
1520350976.6448288,20,1.6100071668624878
1520350978.9884543,21,1.6063562631607056
1520350981.296468,22,1.6024636030197144
1520350983.6279635,23,1.5987590551376343
1520350985.9519763,24,1.5957590341567993
1520350988.2495978,25,1.5925520658493042
1520350990.582818,26,1.5895066261291504
1520350992.9096556,27,1.5860865116119385
1520350995.2371771,28,1.5832809209823608
1520350997.5443563,29,1.5803279876708984
1520350999.8589597,30,1.577534794807434
1520351002.1785505,31,1.5752735137939453
1520351004.5514834,32,1.5732887983322144
1520351006.7777596,33,1.5704002380371094
1520351009.4597273,34,1.568030595779419
1520351011.8867428,35,1.5655760765075684
1520351014.1918283,36,1.5637303590774536
1520351016.930299,37,1.5611838102340698
1520351019.78127,38,1.5591665506362915
