Wall time,Step,Value
1520422433.265861,0,1.7111860513687134
1520422442.7505028,1,1.653409719467163
1520422452.25537,2,1.6271166801452637
1520422461.956345,3,1.608642339706421
1520422471.867824,4,1.5968495607376099
1520422481.416786,5,1.5875585079193115
1520422491.130121,6,1.5780038833618164
1520422501.623693,7,1.5736510753631592
1520422511.103255,8,1.565636396408081
1520422521.013471,9,1.5632407665252686
1520422531.122517,10,1.5565333366394043
1520422540.120933,11,1.5509815216064453
1520422545.861333,12,1.5485912561416626
1520422551.682863,13,1.5457077026367188
1520422557.380822,14,1.5416276454925537
1520422563.142841,15,1.537785291671753
1520422568.9683561,16,1.5377634763717651
1520422574.806589,17,1.5331066846847534
1520422580.603149,18,1.5336170196533203
1520422586.434934,19,1.5288546085357666
1520422592.340826,20,1.5283235311508179
