Wall time,Step,Value
1520422980.891905,0,0.32543882727622986
1520422986.3146298,1,0.3680691123008728
1520422991.729067,2,0.3822791874408722
1520422997.124537,3,0.39676791429519653
1520423003.153059,4,0.39676791429519653
1520423008.706833,5,0.3998328149318695
1520423014.346837,6,0.40735581517219543
1520423020.7135081,7,0.4098634719848633
1520423026.964179,8,0.41432154178619385
1520423032.7100968,9,0.4104207158088684
1520423038.170697,10,0.41376426815986633
1520423043.5357912,11,0.42212316393852234
1520423049.180481,12,0.4154360592365265
1520423055.221525,13,0.4224017858505249
1520423061.4568472,14,0.4279743731021881
1520423067.889927,15,0.4257453382015228
1520423074.618599,16,0.4237949252128601
1520423080.5939882,17,0.4293675124645233
1520423086.488513,18,0.42769575119018555
1520423092.920439,19,0.4329896867275238
1520423099.621346,20,0.43967679142951965
1520423105.813208,21,0.43911951780319214
1520423111.996387,22,0.43772637844085693
1520423118.824857,23,0.4371691346168518
1520423125.401623,24,0.43828365206718445
1520423131.840418,25,0.43549734354019165
1520423137.898206,26,0.4388408958911896
1520423144.4304,27,0.4338255822658539
1520423150.116307,28,0.4393981695175171
1520423156.696058,29,0.438562273979187
