Wall time,Step,Value
1520425619.970217,0,1.6833540201187134
1520425632.5003688,1,1.625062346458435
1520425644.6986969,2,1.5944558382034302
1520425656.9975839,3,1.5739336013793945
1520425670.2124858,4,1.5568647384643555
1520425685.345047,5,1.553769826889038
1520425700.7788742,6,1.540409803390503
1520425716.600089,7,1.528441309928894
1520425731.131566,8,1.520013689994812
1520425746.001027,9,1.527139663696289
1520425761.0212858,10,1.5293492078781128
1520425776.9568262,11,1.5381702184677124
1520425793.72075,12,1.500788688659668
1520425815.10328,13,1.5131534337997437
1520425838.64897,14,1.5342448949813843
1520425865.6017668,15,1.5082058906555176
1520425903.195198,16,1.518303632736206
1520425932.0880299,17,1.5346838235855103
1520425959.5790331,18,1.5337553024291992
1520425986.100853,19,1.5343070030212402
1520426011.659486,20,1.551389455795288
1520426035.197682,21,1.5589075088500977
1520426058.02463,22,1.575664758682251
