Wall time,Step,Value
1520425552.7233741,0,1.6847071647644043
1520425560.1240141,1,1.6260112524032593
1520425568.7530549,2,1.608201503753662
1520425579.119342,3,1.578845739364624
1520425589.097307,4,1.559710144996643
1520425598.651119,5,1.5469392538070679
1520425607.5976489,6,1.5477782487869263
1520425620.297772,7,1.519574522972107
1520425632.755164,8,1.5199835300445557
1520425645.24427,9,1.5308210849761963
1520425657.418122,10,1.5408332347869873
1520425670.990703,11,1.514190435409546
1520425686.043589,12,1.5112206935882568
1520425701.308245,13,1.5484707355499268
1520425717.447411,14,1.566048502922058
1520425731.942987,15,1.5722013711929321
1520425747.06897,16,1.549241065979004
1520425762.17553,17,1.5471919775009155
1520425778.381504,18,1.6539390087127686
1520425795.606143,19,1.5782686471939087
1520425816.774894,20,1.5780938863754272
1520425841.4882932,21,1.6335035562515259
1520425867.9318452,22,1.5899289846420288
1520425907.1884422,23,1.6125192642211914
1520425936.6138759,24,1.6239960193634033
1520425964.430527,25,1.625556468963623
1520425991.8095381,26,1.6398590803146362
