Wall time,Step,Value
1520425552.7235131,0,0.32711061835289
1520425560.124216,1,0.36138200759887695
1520425568.753238,2,0.3736416697502136
1520425579.1195788,3,0.392031192779541
1520425589.097451,4,0.39453887939453125
1520425598.651284,5,0.3998328149318695
1520425607.597827,6,0.4048481583595276
1520425620.297929,7,0.41153523325920105
1520425632.7553222,8,0.4140429198741913
1520425645.244444,9,0.4090275764465332
1520425657.41828,10,0.41794371604919434
1520425670.9908679,11,0.4243521988391876
1520425686.043746,12,0.4274170994758606
1520425701.308426,13,0.41237112879753113
1520425717.447583,14,0.400390088558197
1520425731.943209,15,0.4218445122241974
1520425747.069212,16,0.4329896867275238
1520425762.175688,17,0.438562273979187
1520425778.381658,18,0.41209250688552856
1520425795.606317,19,0.43410420417785645
1520425816.775064,20,0.43549734354019165
1520425841.4890208,21,0.4132070243358612
1520425867.9320571,22,0.43131792545318604
1520425907.189416,23,0.4335469603538513
1520425936.6140401,24,0.4296461343765259
1520425964.4307148,25,0.4413485527038574
1520425991.809706,26,0.43271106481552124
