Wall time,Step,Value
1520422797.202261,0,1.678289771080017
1520422802.826724,1,1.6221646070480347
1520422808.4047968,2,1.597285270690918
1520422814.3045352,3,1.579236388206482
1520422820.022896,4,1.565223217010498
1520422825.6718059,5,1.5535482168197632
1520422831.6598651,6,1.5471019744873047
1520422837.5225139,7,1.5393556356430054
1520422843.227413,8,1.533398151397705
1520422850.191366,9,1.5284898281097412
1520422855.9603531,10,1.5234777927398682
1520422861.389889,11,1.5198150873184204
1520422866.809414,12,1.5178418159484863
1520422872.242174,13,1.5159062147140503
1520422877.6571891,14,1.5109633207321167
1520422883.625452,15,1.5077096223831177
1520422890.1541371,16,1.506434440612793
1520422896.372736,17,1.5120187997817993
1520422901.778338,18,1.5023524761199951
1520422907.58347,19,1.5011945962905884
1520422913.4462981,20,1.5006927251815796
1520422919.6050172,21,1.4976520538330078
1520422926.441625,22,1.4975460767745972
1520422933.547293,23,1.4967960119247437
1520422940.7040792,24,1.4964258670806885
1520422947.503815,25,1.4960803985595703
1520422954.010742,26,1.4937124252319336
