Wall time,Step,Value
1520444079.3769023,0,1.6693295240402222
1520444085.3012304,1,1.6135854721069336
1520444091.1833456,2,1.5837247371673584
1520444097.0305953,3,1.5578703880310059
1520444102.8509457,4,1.5425788164138794
1520444108.6503851,5,1.5298219919204712
1520444114.457373,6,1.5154385566711426
1520444120.2354715,7,1.5241035223007202
1520444126.0532749,8,1.5017067193984985
1520444131.8507745,9,1.5215933322906494
1520444137.6268623,10,1.4989310503005981
1520444143.4078116,11,1.473311424255371
1520444149.1637404,12,1.4756178855895996
1520444154.9386206,13,1.4882235527038574
1520444160.700951,14,1.462233066558838
1520444166.456026,15,1.462561011314392
1520444172.204907,16,1.4722599983215332
1520444177.9515765,17,1.4652193784713745
1520444183.7382896,18,1.4762709140777588
1520444189.4983752,19,1.458659291267395
1520444195.2456825,20,1.4772385358810425
1520444201.0263171,21,1.469559669494629
1520444206.7898784,22,1.4908174276351929
1520444212.5790055,23,1.4659397602081299
1520444218.360056,24,1.4781436920166016
1520444224.130753,25,1.4687837362289429
1520444229.8844776,26,1.4816575050354004
1520444235.6226242,27,1.4741482734680176
1520444241.3841732,28,1.484405517578125
1520444247.1628027,29,1.5007097721099854
1520444252.9197507,30,1.4906938076019287
1520444258.6773062,31,1.4952657222747803
1520444264.4338946,32,1.4977796077728271
1520444270.208818,33,1.5047550201416016
1520444275.9833193,34,1.5131230354309082
1520444281.7554278,35,1.5118900537490845
1520444287.5162225,36,1.5098985433578491
1520444293.2742095,37,1.524509310722351
1520444299.0438397,38,1.5447700023651123
