Wall time,Step,Value
1520427314.4990358,0,1.6765427589416504
1520427335.638495,1,1.6359782218933105
1520427357.371928,2,1.6073939800262451
1520427379.563793,3,1.5834994316101074
1520427403.788108,4,1.5660020112991333
1520427428.5193431,5,1.5534321069717407
1520427450.048022,6,1.5418541431427002
1520427471.426218,7,1.5446600914001465
1520427494.297136,8,1.5374341011047363
1520427515.200279,9,1.5288621187210083
1520427536.120609,10,1.519960641860962
1520427556.1682491,11,1.5163415670394897
1520427575.924203,12,1.513047695159912
1520427595.196906,13,1.5164774656295776
1520427615.708375,14,1.5125489234924316
1520427636.541056,15,1.5103203058242798
1520427656.053921,16,1.5221408605575562
1520427676.2867892,17,1.5100330114364624
1520427695.555547,18,1.516283631324768
1520427713.90096,19,1.5161515474319458
1520427731.740871,20,1.5113258361816406
1520427748.29506,21,1.515580177307129
1520427765.855746,22,1.5125211477279663
1520427782.3380501,23,1.5205882787704468
1520427797.4605398,24,1.5184197425842285
1520427812.9463449,25,1.5197224617004395
1520427829.36591,26,1.528295636177063
1520427844.7333272,27,1.5288560390472412
