Wall time,Step,Value
1520422345.748648,0,0.27612149715423584
1520422352.2891579,1,0.29924771189689636
1520422358.737691,2,0.31540820002555847
1520422365.350871,3,0.32181665301322937
1520422372.05647,4,0.32683199644088745
1520422378.689931,5,0.3326832056045532
1520422385.56739,6,0.338534414768219
1520422392.557137,7,0.338534414768219
1520422399.801206,8,0.3418779671192169
1520422406.938632,9,0.34382835030555725
1520422414.052605,10,0.3449428677558899
1520422421.1947021,11,0.3468932807445526
1520422430.1729531,12,0.3468932807445526
1520422440.0643342,13,0.34940093755722046
1520422449.4662662,14,0.35023683309555054
1520422459.105527,15,0.3524658679962158
1520422468.8571332,16,0.35302311182022095
1520422478.6143732,17,0.3541376292705536
1520422488.1421068,18,0.3555307984352112
1520422498.838325,19,0.3560880422592163
1520422508.478357,20,0.3574811816215515
1520422518.291328,21,0.35720255970954895
1520422528.282976,22,0.35775983333587646
1520422537.791971,23,0.3569239377975464
