Wall time,Step,Value
1520429362.868321,0,1.703619360923767
1520429375.362632,1,1.6376880407333374
1520429387.016963,2,1.603642225265503
1520429401.008043,3,1.591953992843628
1520429415.7608309,4,1.5720208883285522
1520429430.5495858,5,1.5522055625915527
1520429449.4331598,6,1.5401363372802734
1520429469.006224,7,1.5326788425445557
1520429485.13152,8,1.5209485292434692
1520429501.8604329,9,1.5187580585479736
1520429518.420614,10,1.510488510131836
1520429536.122289,11,1.5013799667358398
1520429551.914593,12,1.490562081336975
1520429569.82335,13,1.4906880855560303
1520429586.562421,14,1.484625220298767
1520429603.410249,15,1.4823875427246094
1520429622.646147,16,1.4777010679244995
1520429641.068207,17,1.4740139245986938
1520429656.6486359,18,1.470877766609192
1520429671.6790059,19,1.465756893157959
1520429688.269372,20,1.4669623374938965
1520429706.537177,21,1.4710739850997925
1520429722.7040598,22,1.4664204120635986
1520429740.1684532,23,1.4626500606536865
1520429757.2813811,24,1.4623719453811646
1520429774.349804,25,1.463710904121399
1520429790.595011,26,1.461903691291809
1520429807.607123,27,1.4603016376495361
1520429826.532612,28,1.4578262567520142
1520429843.5091588,29,1.467435598373413
1520429856.3126788,30,1.4628815650939941
1520429867.262741,31,1.459835410118103
1520429878.495475,32,1.4628448486328125
1520429891.476035,33,1.4595454931259155
1520429904.3562849,34,1.4599354267120361
1520429911.337953,35,1.4585833549499512
1520429918.3926778,36,1.4700993299484253
1520429924.748066,37,1.4671083688735962
1520429931.604625,38,1.467612385749817
1520429938.389608,39,1.4671224355697632
