Wall time,Step,Value
1520440996.758996,0,0.3234884440898895
1520441011.5562031,1,0.35218724608421326
1520441027.92576,2,0.36361104249954224
1520441043.4699159,3,0.3856227397918701
1520441058.5025878,4,0.39453887939453125
1520441073.560879,5,0.40234047174453735
1520441088.344876,6,0.3911953270435333
1520441104.017474,7,0.3948175013065338
1520441118.926073,8,0.41069936752319336
1520441135.060148,9,0.4182223379611969
1520441151.141175,10,0.414878785610199
1520441166.879749,11,0.4040122628211975
1520441182.421647,12,0.4112566113471985
1520441198.071506,13,0.4224017858505249
1520441216.72172,14,0.42713847756385803
1520441229.8184152,15,0.42490944266319275
1520441240.252691,16,0.42268040776252747
1520441249.703715,17,0.41571468114852905
1520441259.3125792,18,0.4251880645751953
1520441266.126555,19,0.42546671628952026
