Wall time,Step,Value
1520425676.5781062,0,1.6847450733184814
1520425691.9128032,1,1.6247241497039795
1520425707.978536,2,1.5914885997772217
1520425722.98542,3,1.5840781927108765
1520425737.981421,4,1.564027190208435
1520425753.171535,5,1.5443767309188843
1520425768.384267,6,1.5375522375106812
1520425784.46926,7,1.5112626552581787
1520425802.887007,8,1.5116817951202393
1520425825.290956,9,1.5043628215789795
1520425852.093187,10,1.4995193481445312
1520425880.426688,11,1.4956485033035278
1520425920.050216,12,1.4947532415390015
1520425948.137929,13,1.4942876100540161
1520425974.699996,14,1.5041425228118896
1520426002.194124,15,1.5029523372650146
1520426025.9764721,16,1.4910780191421509
1520426049.426116,17,1.4977518320083618
