Wall time,Step,Value
1520429404.2065291,0,1.6754224300384521
1520429418.955662,1,1.6281647682189941
1520429433.7761521,2,1.5912681818008423
1520429451.651723,3,1.569393515586853
1520429470.6005278,4,1.5568256378173828
1520429486.1621902,5,1.5412538051605225
1520429502.4289138,6,1.528916597366333
1520429518.353169,7,1.5239663124084473
1520429535.273791,8,1.5189523696899414
1520429550.604453,9,1.5109606981277466
1520429567.9482439,10,1.503843069076538
1520429584.081244,11,1.4970331192016602
1520429600.514187,12,1.4932126998901367
1520429618.592557,13,1.4897515773773193
1520429637.54647,14,1.4864884614944458
1520429652.159592,15,1.4836385250091553
1520429667.4037828,16,1.4833961725234985
1520429682.8795981,17,1.4731191396713257
1520429699.807692,18,1.4823588132858276
1520429716.602298,19,1.473669409751892
1520429732.37822,20,1.4707374572753906
1520429749.683091,21,1.4708976745605469
1520429766.257356,22,1.4657598733901978
1520429781.8357708,23,1.4681332111358643
1520429797.553764,24,1.462373971939087
1520429814.219118,25,1.4633235931396484
1520429832.2549791,26,1.4603769779205322
1520429847.3560488,27,1.4606003761291504
