Wall time,Step,Value
1520350006.6791563,0,1.7482346296310425
1520350009.0909712,1,1.6256686449050903
1520350011.5160215,2,1.568102478981018
1520350013.9090493,3,1.523319959640503
1520350016.3397884,4,1.481334924697876
1520350018.7311687,5,1.4424872398376465
1520350021.1332605,6,1.40314519405365
1520350023.4999526,7,1.3627440929412842
1520350025.849191,8,1.3239974975585938
1520350028.1946366,9,1.280564546585083
1520350030.5611036,10,1.2363436222076416
1520350032.9310083,11,1.1916643381118774
1520350035.3221722,12,1.145220160484314
1520350037.7328708,13,1.1009529829025269
1520350040.114238,14,1.047089695930481
1520350042.4979131,15,0.9964724183082581
1520350044.9273677,16,0.9491003155708313
1520350047.295959,17,0.8914077281951904
1520350049.7247314,18,0.8422384262084961
1520350052.1352181,19,0.792212724685669
1520350054.5445538,20,0.7452616691589355
1520350056.9334123,21,0.675951361656189
