Wall time,Step,Value
1520440996.758817,0,2.1053788661956787
1520441011.556031,1,2.0532658100128174
1520441027.925545,2,2.0161995887756348
1520441043.4697468,3,1.9851033687591553
1520441058.5024269,4,1.9640216827392578
1520441073.560721,5,1.9449273347854614
1520441088.344772,6,1.9612982273101807
1520441104.0171678,7,1.9454413652420044
1520441118.9259179,8,1.916094422340393
1520441135.059988,9,1.9027563333511353
1520441151.1408498,10,1.9001798629760742
1520441166.8795898,11,1.902698278427124
1520441182.4214349,12,1.8931775093078613
1520441198.071339,13,1.882680058479309
1520441216.721378,14,1.890769362449646
1520441229.8182452,15,1.8858000040054321
1520441240.252564,16,1.8844610452651978
1520441249.703552,17,1.91325044631958
1520441259.312372,18,1.8812892436981201
1520441266.126451,19,1.8996655941009521
