Wall time,Step,Value
1520427276.477951,0,1.6859747171401978
1520427295.28543,1,1.6305415630340576
1520427316.898926,2,1.5989712476730347
1520427337.099485,3,1.5806844234466553
1520427357.861504,4,1.5666487216949463
1520427379.051722,5,1.5568031072616577
1520427400.809514,6,1.5451611280441284
1520427421.794935,7,1.5396926403045654
1520427442.9984472,8,1.5328269004821777
1520427464.355844,9,1.5252944231033325
1520427485.706848,10,1.5235098600387573
1520427505.9504452,11,1.518015742301941
1520427527.1459641,12,1.5163532495498657
1520427547.4999669,13,1.5137922763824463
1520427567.295695,14,1.5087891817092896
1520427586.588119,15,1.5027036666870117
1520427606.565223,16,1.507496953010559
1520427627.098264,17,1.5041084289550781
1520427647.160971,18,1.5060639381408691
1520427667.040978,19,1.499970555305481
1520427686.577116,20,1.4980415105819702
1520427705.8146229,21,1.5006643533706665
