Wall time,Step,Value
1520444137.4246027,0,1.6576513051986694
1520444147.4680483,1,1.593979835510254
1520444157.495865,2,1.5678542852401733
1520444167.5258515,3,1.5454251766204834
1520444177.561119,4,1.5533256530761719
1520444187.5999105,5,1.5151628255844116
1520444197.6495364,6,1.5065433979034424
1520444207.6402454,7,1.4929765462875366
1520444217.650444,8,1.4838160276412964
1520444227.6756022,9,1.4696964025497437
1520444237.6440685,10,1.473305344581604
1520444247.633539,11,1.4659143686294556
1520444257.5918832,12,1.4690958261489868
1520444267.5654037,13,1.4494394063949585
1520444277.5058212,14,1.4674549102783203
1520444287.4684706,15,1.4603726863861084
1520444297.4535291,16,1.4533017873764038
1520444307.4457948,17,1.466291069984436
1520444317.4290779,18,1.4674715995788574
1520444327.4231822,19,1.4556629657745361
1520444337.3990426,20,1.4692667722702026
1520444347.3956413,21,1.4490599632263184
1520444357.3913476,22,1.4766955375671387
1520444367.3854358,23,1.4812008142471313
1520444377.3926785,24,1.5004737377166748
1520444387.3806612,25,1.4849573373794556
1520444397.3456402,26,1.525415062904358
1520444407.298355,27,1.499405860900879
1520444417.293593,28,1.5107184648513794
1520444427.3172765,29,1.5294245481491089
1520444437.3053198,30,1.5057002305984497
1520444447.300039,31,1.559084177017212
