Wall time,Step,Value
1520427314.499199,0,0.3449428677558899
1520427335.638753,1,0.3541376292705536
1520427357.37221,2,0.3730844259262085
1520427379.5639622,3,0.3842296004295349
1520427403.7882931,4,0.3942602276802063
1520427428.519526,5,0.39732515811920166
1520427450.048289,6,0.39871829748153687
1520427471.426384,7,0.3989969491958618
1520427494.297297,8,0.3964892625808716
1520427515.200525,9,0.40234047174453735
1520427536.120785,10,0.41292840242385864
1520427556.1684248,11,0.41292840242385864
1520427575.9243772,12,0.41933685541152954
1520427595.197118,13,0.41237112879753113
1520427615.708562,14,0.4196154773235321
1520427636.54123,15,0.4215658903121948
1520427656.054107,16,0.41710782051086426
1520427676.286978,17,0.4265812337398529
1520427695.555706,18,0.4201727509498596
1520427713.901122,19,0.4218445122241974
1520427731.7410429,20,0.42351630330085754
1520427748.295307,21,0.42268040776252747
1520427765.85592,22,0.4307606518268585
1520427782.33821,23,0.423237681388855
1520427797.460743,24,0.4265812337398529
1520427812.946958,25,0.43326830863952637
1520427829.366275,26,0.43187516927719116
1520427844.733931,27,0.4224017858505249
