Wall time,Step,Value
1520425676.578322,0,0.33964893221855164
1520425691.9132118,1,0.3744775652885437
1520425707.978723,2,0.3898021876811981
1520425722.985742,3,0.380886048078537
1520425737.981607,4,0.39230984449386597
1520425753.171849,5,0.3970465362071991
1520425768.384492,6,0.41237112879753113
1520425784.46942,7,0.42351630330085754
1520425802.8871942,8,0.41710782051086426
1520425825.2916129,9,0.4307606518268585
1520425852.093384,10,0.41850098967552185
1520425880.426977,11,0.4329896867275238
1520425920.0509021,12,0.4282529950141907
1520425948.138131,13,0.4288102388381958
1520425974.701455,14,0.4257453382015228
1520426002.194289,15,0.42546671628952026
1520426025.976637,16,0.43048202991485596
1520426049.4262881,17,0.42908889055252075
