Wall time,Step,Value
1520438214.989024,0,1.7219258546829224
1520438220.9346628,1,1.6486238241195679
1520438226.641166,2,1.608455777168274
1520438232.3272572,3,1.5838239192962646
1520438238.266313,4,1.570502519607544
1520438243.9820669,5,1.5517581701278687
1520438249.955033,6,1.5451440811157227
1520438257.685697,7,1.5314710140228271
1520438263.440405,8,1.522723913192749
1520438268.987978,9,1.512192964553833
1520438275.180845,10,1.5091254711151123
1520438283.896321,11,1.5079666376113892
1520438293.974207,12,1.5088645219802856
1520438300.763849,13,1.501575231552124
1520438306.855799,14,1.5046895742416382
1520438314.0626519,15,1.5079394578933716
1520438321.387161,16,1.5107096433639526
1520438328.8504949,17,1.5199217796325684
1520438335.9416919,18,1.544605016708374
1520438344.323088,19,1.588801622390747
1520438351.444809,20,1.5920541286468506
1520438357.298051,21,1.6000797748565674
1520438363.2918222,22,1.669561743736267
1520438369.134058,23,1.6167055368423462
1520438375.10879,24,1.6440502405166626
1520438380.8901892,25,1.8311843872070312
1520438386.872464,26,1.7032968997955322
