Wall time,Step,Value
1520443962.9928148,0,1.713618278503418
1520443965.7595916,1,1.6472264528274536
1520443968.523914,2,1.6135361194610596
1520443971.3135726,3,1.5928916931152344
1520443974.0840673,4,1.5764082670211792
1520443976.8664706,5,1.5604664087295532
1520443979.627089,6,1.5471880435943604
1520443982.4531872,7,1.543152093887329
1520443985.21385,8,1.5276353359222412
1520443987.9704297,9,1.5191363096237183
1520443990.742733,10,1.5173382759094238
1520443993.5013692,11,1.5110242366790771
1520443996.2976162,12,1.4956835508346558
1520443999.0814736,13,1.4953467845916748
1520444001.8672504,14,1.4869539737701416
1520444004.6346529,15,1.4863038063049316
1520444007.3688054,16,1.4852594137191772
1520444010.1500137,17,1.4777408838272095
1520444012.895823,18,1.480149269104004
1520444015.6725366,19,1.4740104675292969
1520444018.4348667,20,1.4768911600112915
1520444021.1948662,21,1.468770980834961
1520444023.9704857,22,1.4653306007385254
1520444026.7520683,23,1.474114179611206
1520444029.5491972,24,1.4640142917633057
1520444032.3803654,25,1.4633817672729492
1520444035.1451745,26,1.4660996198654175
1520444037.8859487,27,1.46951162815094
1520444040.620904,28,1.4701567888259888
1520444043.3785882,29,1.466471791267395
1520444046.1186743,30,1.4677855968475342
1520444048.8757794,31,1.468190312385559
1520444051.6427236,32,1.4662692546844482
