Wall time,Step,Value
1520332891.8581102,0,1.6695926189422607
1520332894.1746774,1,1.620806336402893
1520332896.5030603,2,1.5932427644729614
1520332898.841773,3,1.5546823740005493
1520332901.1565156,4,1.5341256856918335
1520332903.4554749,5,1.531680703163147
1520332905.767241,6,1.5154424905776978
1520332908.0929058,7,1.506983995437622
1520332910.425103,8,1.5026063919067383
1520332912.7299104,9,1.5080575942993164
1520332915.058405,10,1.5550403594970703
1520332917.3912225,11,1.5128179788589478
1520332919.7082832,12,1.5204418897628784
1520332922.0421271,13,1.5436556339263916
1520332924.3748493,14,1.5490000247955322
1520332926.702917,15,1.6004605293273926
1520332929.0301569,16,1.5640220642089844
1520332931.3492875,17,1.652612328529358
1520332933.6634655,18,1.635241150856018
1520332935.983506,19,1.7844146490097046
