Wall time,Step,Value
1520444026.717978,0,1.7391211986541748
1520444027.833461,1,1.6772249937057495
1520444028.9558022,2,1.6410075426101685
1520444030.0777357,3,1.6179231405258179
1520444031.198891,4,1.6027425527572632
1520444032.3242636,5,1.5887757539749146
1520444033.4472878,6,1.5778591632843018
1520444034.569249,7,1.5665204524993896
1520444035.6837525,8,1.5620239973068237
1520444036.8078196,9,1.5550073385238647
1520444037.9382873,10,1.5504766702651978
1520444039.0629888,11,1.542586088180542
1520444040.189057,12,1.536766529083252
1520444041.3056836,13,1.5328850746154785
1520444042.4264572,14,1.5262712240219116
1520444043.5494707,15,1.521156668663025
1520444044.6732032,16,1.5189651250839233
1520444045.7918282,17,1.5161712169647217
1520444046.9045935,18,1.5112435817718506
1520444048.0185587,19,1.5090510845184326
1520444049.1372871,20,1.5072239637374878
1520444050.2612517,21,1.5045002698898315
1520444051.379868,22,1.5020772218704224
1520444052.5045521,23,1.5014822483062744
1520444053.6288817,24,1.4996482133865356
1520444054.7564578,25,1.4978479146957397
